observation_date,oil_usd,oil_log,oil_log_diff,D_lib,D_covid,oil_x_Dlib
2000Q2,26.76583934583935,3.2871264231832393,-0.005901578717888878,0,0,-0.0
2000Q3,30.674409937888196,3.423428754483297,0.13630233130005776,0,0,0.0
2000Q4,29.724393939393938,3.391968053450366,-0.031460701032931304,0,0,-0.0
2001Q1,25.87510606060606,3.2532813505377534,-0.13868670291261243,0,0,-0.0
2001Q2,27.273275613275615,3.305907307475817,0.05262595693806382,0,0,0.0
2001Q3,25.30437878787879,3.2309774553775057,-0.07492985209831149,0,0,-0.0
2001Q4,19.346787324041326,2.9625263759260174,-0.2684510794514883,0,0,-0.0
2002Q1,21.129661616161616,3.0506778171202553,0.0881514411942379,0,0,0.0
2002Q2,25.051919191919193,3.220950439044009,0.1702726219237536,0,0,0.0
2002Q3,26.92899146746973,3.293203455972576,0.0722530169285669,0,0,0.0
2002Q4,26.73759385783299,3.2860705847467475,-0.007132871225828286,0,0,-0.0
2003Q1,31.522339105339103,3.4506964724310065,0.164625887684259,0,0,0.0
2003Q2,26.192770562770562,3.2654834399719332,-0.18521303245907328,0,0,-0.0
2003Q3,28.44968787251396,3.3481371894230167,0.0826537494510835,0,0,0.0
2003Q4,29.389156314699793,3.3806257734757366,0.032488584052719816,0,0,0.0
2004Q1,31.92460006901311,3.4633768746361624,0.08275110116042583,0,0,0.0
2004Q2,35.44738816738817,3.568049573744514,0.10467269910835153,0,0,0.0
2004Q3,41.38742424242424,3.722977072425884,0.15492749868137023,0,0,0.0
2004Q4,44.16309837505489,3.7878895619861663,0.06491248956028217,0,0,0.0
2005Q1,47.69618181818182,3.864851348950041,0.07696178696387479,0,0,0.0
2005Q2,51.62793650793651,3.944062931173171,0.07921158222313007,0,0,0.0
2005Q3,61.4705533596838,4.118558252988108,0.17449532181493677,0,0,0.0
2005Q4,56.878701298701294,4.0409209529330115,-0.0776373000550965,0,0,-0.0
2006Q1,61.75334023464458,4.123148066913858,0.08222711398084659,0,0,0.0
2006Q2,69.53095520421607,4.241772052032037,0.1186239851181794,0,0,0.0
2006Q3,69.62109730848861,4.243067643656507,0.001295591624469239,0,0,0.0
2006Q4,59.68055023923444,4.089006175679318,-0.154061467977189,0,0,-0.0
2007Q1,57.762557530189106,4.056340772174059,-0.03266540350525826,0,0,-0.0
2007Q2,68.5812588288904,4.228019302493177,0.1716785303191175,0,0,0.0
2007Q3,74.95467581998474,4.316883608459725,0.08886430596654815,0,0,0.0
2007Q4,88.56037593984962,4.4836845334212905,0.1668009249615654,0,0,0.0
