,cpi_level,cpi_log_diff
2007Q2,86.09372937293729,0.004590171993863912
2007Q3,86.8822882288229,0.009117614448653555
2007Q4,87.78349834983497,0.010319343427848793
2008Q1,88.06512651265126,0.003203077690503875
2008Q2,89.81122112211222,0.019633309552216538
2008Q3,90.43080308030802,0.0068750270794568635
2008Q4,91.0222222222222,0.0065187255514711495
2009Q1,90.85324532453244,-0.001858160955831245
2009Q2,90.43080308030802,-0.0046605645956399044
2009Q3,90.96589658965895,0.005899722127187701
2009Q4,90.57161716171618,-0.004343785917845011
2010Q1,90.96589658965895,0.004343785917845011
2010Q2,91.5291529152915,0.006172859107080875
2010Q3,91.38833883388337,-0.001539646185592325
2010Q4,92.54301430143016,0.0125556694590232
2011Q1,92.402200220022,-0.001522765636112311
2011Q2,91.64180418041803,-0.008263245182118517
2011Q3,92.85280528052806,0.013127955292747906
2011Q4,92.85280528052805,0.0
2012Q1,92.84717271727173,-6.066304712337711e-05
2012Q2,92.90913091309135,0.0006670912039741239
2012Q3,94.02720316831683,0.01196220727423647
2012Q4,94.72523828382838,0.0073963366232749905
2013Q1,95.02925588558857,0.0032043284478868728
2013Q2,95.19667819581957,0.0017602474054756456
2013Q3,95.67632756875686,0.005025858744642342
2013Q4,95.64969962596261,-0.0002783514962034772
2014Q1,95.44378437843784,-0.002155126620842829
2014Q2,95.24664466446643,-0.002067642148525728
2014Q3,95.80990099009904,0.0058962434972817945
2014Q4,96.73927392739277,0.009653431700642479
2015Q1,96.88008800880088,0.001454545710993571
2015Q2,97.04906490649067,0.0017426667204318846
2015Q3,97.61232123212324,0.00578705318767625
2015Q4,97.66864686468648,0.0005768676248809612
2016Q1,97.83762376237623,0.0017286089006169902
2016Q2,98.90781078107811,0.010879007953957576
2016Q3,99.41474147414743,0.005112195172335632
2016Q4,99.41474147414743,0.0
2017Q1,99.07678767876787,-0.0034052246298399425
2017Q2,99.21760176017604,0.0014202530437348315
2017Q3,99.61188118811883,0.003966010864242975
2017Q4,100.65390539053901,0.010406506513891856
2018Q1,101.19717436831701,0.005382882174458814
2018Q2,101.80858085808568,0.0060235566990325395
2018Q3,101.24532453245332,-0.0055478644377160435
2018Q4,101.498789878988,0.002500348573081901
2019Q1,100.96369636963702,-0.005285865694508729
2019Q2,102.06204620462033,0.010819914129147179
2019Q3,101.69592959295933,-0.003593645885410446
2019Q4,102.259185918592,0.005523350136879657
2020Q1,102.28734873487366,0.0002753683068483781
2020Q2,102.16666666666667,-0.0011805303210676854
2020Q3,102.63333333333333,0.00455729955418871
2020Q4,102.76666666666667,0.001298279961649662
2021Q1,102.43333333333334,-0.00324886575566552
2021Q2,103.76666666666667,0.012932608311123417
2021Q3,104.03333333333335,0.0025665718291714157
2021Q4,105.36666666666667,0.012734969944838248
2022Q1,106.53333333333335,0.011011594670548241
2022Q2,110.3,0.03474600103544656
2022Q3,112.36666666666667,0.0185634073124481
2022Q4,114.06666666666666,0.01501573921807875
2023Q1,116.2,0.01852977162782743
2023Q2,117.8,0.013675426799674817
2023Q3,117.89999999999999,0.0008485363258392553
2023Q4,118.36666666666667,0.003950343737606943
2024Q1,117.56666666666666,-0.006781602707035539
2024Q2,118.73333333333333,0.009874533613555059
2024Q3,119.39999999999999,0.005599118771050016
2024Q4,119.2,-0.001676446327252279
