quarter,oil_usd,oil_log_diff,D_lib,D_covid,oil_x_Dlib,cpi_level,cpi_log_diff,igrea,ca_pct_gdp,fiscal_balance_pct_gdp,fiscal_proxy
2017Q4,61.5318341307815,0.1661608507678531,1,0,0.1661608507678531,100.653905390539,0.0104065065138918,-1.8634133,-3.2,-3.3,-0.3409418065063404
2018Q1,66.80381313131313,0.0822054926855004,1,0,0.0822054926855004,101.197174368317,0.0053828821744588,-27.978253666666664,-4.9,-3.5,-0.2316655864722566
2018Q2,74.49533333333333,0.1089763218850015,1,0,0.1089763218850015,101.80858085808568,0.0060235566990325,-21.268553333333333,-4.9,-3.5,-0.2316655864722566
2018Q3,75.22445059288538,0.0097398353692668,1,0,0.0097398353692668,101.24532453245332,-0.005547864437716,3.0624428999999993,-4.9,-3.5,-0.2316655864722566
2018Q4,67.71423622413393,-0.1051798771995198,1,0,-0.1051798771995198,101.498789878988,0.0025003485730819,-13.7470411,-4.9,-3.5,-0.2316655864722566
2019Q1,63.16953896103897,-0.0694742352729926,1,0,-0.0694742352729926,100.96369636963702,-0.0052858656945087,-69.769878,-3.4,-3.8,-0.0677512564211312
2019Q2,68.92385353535353,0.0871801167626777,1,0,0.0871801167626777,102.06204620462032,0.0108199141291471,-45.782951,-3.4,-3.8,-0.0677512564211312
2019Q3,61.929205094422485,-0.1070104439438193,1,0,-0.1070104439438193,101.69592959295932,-0.0035936458854104,27.220045666666667,-3.4,-3.8,-0.0677512564211312
2019Q4,63.38069703243616,0.0231674725559187,1,0,0.0231674725559187,102.259185918592,0.0055233501368796,-1.2538232666666669,-3.4,-3.8,-0.0677512564211312
2020Q1,50.437939393939395,-0.228415694230005,1,0,-0.228415694230005,102.28734873487366,0.0002753683068483,-98.23279466666668,-1.2,-7.1,1.735306374141249
2020Q2,29.341421850079744,-0.5417434249555111,1,1,-0.5417434249555111,102.16666666666669,-0.0011805303210676,-75.07687733333334,-1.2,-7.1,1.735306374141249
2020Q3,42.96257312252965,0.3813291114942143,1,0,0.3813291114942143,102.63333333333333,0.0045572995541887,-1.0646315333333334,-1.2,-7.1,1.735306374141249
2020Q4,44.291854256854265,0.0304714391404705,1,0,0.0304714391404705,102.76666666666668,0.0012982799616496,-13.872456433333332,-1.2,-7.1,1.735306374141249
2021Q1,60.820166666666665,0.3171206392488814,1,0,0.3171206392488814,102.43333333333334,-0.0032488657556655,10.291874466666668,-2.3,-5.9,1.0796490539367476
2021Q2,68.83493381180223,0.1237899523937349,1,0,0.1237899523937349,103.76666666666668,0.0129326083111234,57.50987633333333,-2.3,-5.9,1.0796490539367476
2021Q3,73.46722943722943,0.0651280738318362,1,0,0.0651280738318362,104.03333333333336,0.0025665718291714,85.10140366666667,-2.3,-5.9,1.0796490539367476
2021Q4,79.58619047619048,0.0800011425221161,1,0,0.0800011425221161,105.36666666666667,0.0127349699448382,73.69355733333333,-2.3,-5.9,1.0796490539367476
2022Q1,100.29315182884746,0.2312568244362367,1,0,0.2312568244362367,106.53333333333336,0.0110115946705482,19.9705444,-3.5,-5.4,0.8064585038515384
2022Q2,113.54127819548872,0.1240690395899806,1,0,0.1240690395899806,110.3,0.0347460010354465,40.58685666666667,-3.5,-5.4,0.8064585038515384
2022Q3,100.71227994227996,-0.1198987172540997,1,0,-0.1198987172540997,112.36666666666667,0.0185634073124481,-2.729058,-3.5,-5.4,0.8064585038515384
2022Q4,88.55711976911978,-0.1286199731526682,1,0,-0.1286199731526682,114.06666666666666,0.0150157392180787,-11.3309072,-3.5,-5.4,0.8064585038515384
2023Q1,81.17359213250518,-0.0870577907101619,1,0,-0.0870577907101619,116.2,0.0185297716278274,-58.429000333333335,-1.0,-4.4,0.2600774036811201
2023Q2,78.31447474747475,-0.0358575256420428,1,0,-0.0358575256420428,117.8,0.0136754267996748,-25.674610666666663,-1.0,-4.4,0.2600774036811201
2023Q3,86.65940115440115,0.1012530574123742,1,0,0.1012530574123742,117.9,0.0008485363258392,-36.296768666666665,-1.0,-4.4,0.2600774036811201
2023Q4,83.72232057416268,-0.0344798905286163,1,0,-0.0344798905286163,118.36666666666667,0.0039503437376069,18.509197733333338,-1.0,-4.4,0.2600774036811201
2024Q1,83.00356204906205,-0.0086220923413193,1,0,-0.0086220923413193,117.56666666666666,-0.0067816027070355,13.7710966,-1.2,-3.9,-0.0131131464040893
2024Q2,84.64342857142857,0.019563951856556,1,0,0.019563951856556,118.73333333333332,0.009874533613555,7.280946586666667,-1.2,-3.9,-0.0131131464040893
2024Q3,79.84164941338854,-0.0584021842108954,1,0,-0.0584021842108954,119.4,0.00559911877105,8.423020293333334,-1.2,-3.9,-0.0131131464040893
2024Q4,74.61244893029675,-0.0677379217463904,1,0,-0.0677379217463904,119.2,-0.0016764463272522,-19.6297745,-1.2,-3.9,-0.0131131464040893
